Feature ID	Taxon	Confidence
ac4107604c179f2f8414333885255725	D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Nostocales;D_4__Nostocaceae	0.9999999960106754
450ac381cbb4a6822befbcdb2ca20bae	D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__uncultured Cryptomonadaceae;D_5__uncultured Cryptomonadaceae;D_6__uncultured Cryptomonadaceae	0.9925542048615057
1ead98754d34073a4606f7ff1e94126e	D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Cyanobium PCC-6307	0.9999968526857735
40b37890b1b1fcdf0ece91f1da34c1ca	D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Cyanobium PCC-6307;Ambiguous_taxa	0.7767764171150593
887bc7033b46d960e893caceb711700b	D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Microtrichales;D_4__Ilumatobacteraceae;D_5__CL500-29 marine group	0.9999999998413662
29f4ad6225de48b3d295e911657ccd5f	D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Nostocales;D_4__Microcystaceae;D_5__Snowella 0TU37S04;D_6__uncultured cyanobacterium	0.9363052155639089
1b2c41577c16f4c672a2a861e6b89b14	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales;D_4__Sporichthyaceae;D_5__hgcI clade	0.9997600452808585
d99a98ce958f133d3ca3ac7498dcc402	D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Nostocales;D_4__Nostocaceae;D_5__Aphanizomenon NIES81;Ambiguous_taxa	0.9967100954884845
b9a924b9f65ece84b5528ab8d640a6e7	D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast	0.999999999999996
9be1e7976b23393a66cc2e9672ecc6c8	D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__Virgulinella fragilis;D_5__Virgulinella fragilis;D_6__Virgulinella fragilis	0.9855018563072009
75ace96b10c2ea95a7debec153c153d1	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Crocinitomicaceae;D_5__Fluviicola;D_6__uncultured Cryomorphaceae bacterium	0.7120918385760435
fbdf381af39b887d91a2a6c97bc24106	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales	0.714837146032843
cac37e39df2461953f24398212940edf	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__NS3a marine group	0.99999936872865
d29da74c2ec6fb9901850789f2274851	D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__Epipyxis sp. PR26KG;D_5__Epipyxis sp. PR26KG;D_6__Epipyxis sp. PR26KG	0.8321225461356846
641dd3fba38499ee67aca9534db03ecc	D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Microtrichales;D_4__Ilumatobacteraceae;D_5__CL500-29 marine group	0.9999999438948326
25575759206928e94ba1afdad798a30a	D_0__Bacteria;D_1__Planctomycetes;D_2__OM190	0.9999999587448385
84d07b39422c15fcee187dc8f2002ffd	D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Nostocales;D_4__Nostocaceae;D_5__Aphanizomenon NIES81;Ambiguous_taxa	0.9695875210063439
1718a77c2e719f30222645734f05f9b1	D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Nostocales;D_4__Nostocaceae;D_5__Aphanizomenon NIES81	0.9993227260057344
d29554cd4df18489f985c44c68196025	D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae;D_3__Phycisphaerales;D_4__Phycisphaeraceae;D_5__CL500-3	0.9999999675613657
